연령대,행정구역,인구 수,1인가구 수,성별
60~64세,현저동,230,51,M
65~69세,현저동,171,45,M
총합,현저동,"2,652",496,F
0~69세,현저동,"2,141",272,F
0~4세,현저동,62,0,F
5~9세,현저동,68,0,F
10~14세,현저동,68,0,F
15~19세,현저동,103,0,F
20~24세,현저동,123,3,F
25~29세,현저동,126,8,F
30~34세,현저동,181,17,F
35~39세,현저동,180,23,F
40~44세,현저동,171,23,F
45~49세,현저동,191,29,F
50~54세,현저동,243,27,F
55~59세,현저동,239,42,F
60~64세,현저동,210,46,F
65~69세,현저동,176,54,F
총합,북아현동,"27,632","5,122",M+F
0~69세,북아현동,"24,601","4,254",M+F
0~4세,북아현동,884,1,M+F
5~9세,북아현동,"1,167",0,M+F
10~14세,북아현동,974,2,M+F
15~19세,북아현동,924,29,M+F
20~24세,북아현동,"1,512",251,M+F
25~29세,북아현동,"2,073",561,M+F
30~34세,북아현동,"2,332",636,M+F
35~39세,북아현동,"2,190",424,M+F
40~44세,북아현동,"2,371",331,M+F
45~49세,북아현동,"1,906",310,M+F
50~54세,북아현동,"2,366",436,M+F
55~59세,북아현동,"2,244",413,M+F
60~64세,북아현동,"2,022",444,M+F
65~69세,북아현동,"1,636",416,M+F
총합,북아현동,"13,306","2,466",M
0~69세,북아현동,"12,068","2,224",M
0~4세,북아현동,466,0,M
5~9세,북아현동,593,0,M
10~14세,북아현동,502,0,M
15~19세,북아현동,439,11,M
20~24세,북아현동,684,87,M
25~29세,북아현동,966,256,M
30~34세,북아현동,"1,153",338,M
35~39세,북아현동,"1,052",252,M
40~44세,북아현동,"1,238",202,M
45~49세,북아현동,948,157,M
50~54세,북아현동,"1,128",245,M
55~59세,북아현동,"1,103",239,M
60~64세,북아현동,"1,013",237,M
65~69세,북아현동,783,200,M
총합,북아현동,"14,326","2,656",F
0~69세,북아현동,"12,533","2,030",F
0~4세,북아현동,418,1,F
5~9세,북아현동,574,0,F
10~14세,북아현동,472,2,F
15~19세,북아현동,485,18,F
20~24세,북아현동,828,164,F
25~29세,북아현동,"1,107",305,F
30~34세,북아현동,"1,179",298,F
35~39세,북아현동,"1,138",172,F
40~44세,북아현동,"1,133",129,F
45~49세,북아현동,958,153,F
50~54세,북아현동,"1,238",191,F
55~59세,북아현동,"1,141",174,F
60~64세,북아현동,"1,009",207,F
65~69세,북아현동,853,216,F
총합,홍제동,"55,440","9,141",M+F
0~69세,홍제동,"47,321","6,961",M+F
0~4세,홍제동,"1,414",0,M+F
5~9세,홍제동,"1,632",0,M+F
10~14세,홍제동,"1,662",2,M+F
15~19세,홍제동,"2,025",48,M+F
20~24세,홍제동,"3,151",360,M+F
25~29세,홍제동,"3,724",708,M+F
30~34세,홍제동,"4,066",946,M+F
35~39세,홍제동,"3,787",660,M+F
40~44세,홍제동,"3,909",610,M+F
45~49세,홍제동,"3,600",512,M+F
50~54세,홍제동,"5,089",734,M+F
55~59세,홍제동,"4,633",667,M+F
60~64세,홍제동,"4,650",845,M+F
65~69세,홍제동,"3,979",869,M+F
총합,홍제동,"26,118","3,869",M
0~69세,홍제동,"22,823","3,311",M
0~4세,홍제동,722,0,M
5~9세,홍제동,805,0,M
10~14세,홍제동,841,2,M
15~19세,홍제동,996,13,M
20~24세,홍제동,"1,553",132,M
25~29세,홍제동,"1,789",322,M
30~34세,홍제동,"1,988",500,M
35~39세,홍제동,"1,853",347,M
40~44세,홍제동,"1,957",319,M
45~49세,홍제동,"1,731",264,M
50~54세,홍제동,"2,397",369,M
55~59세,홍제동,"2,216",340,M
60~64세,홍제동,"2,165",376,M
65~69세,홍제동,"1,810",327,M
총합,홍제동,"29,322","5,272",F
0~69세,홍제동,"24,498","3,650",F
0~4세,홍제동,692,0,F
5~9세,홍제동,827,0,F
10~14세,홍제동,821,0,F
15~19세,홍제동,"1,029",35,F
20~24세,홍제동,"1,598",228,F
25~29세,홍제동,"1,935",386,F
30~34세,홍제동,"2,078",446,F
35~39세,홍제동,"1,934",313,F
40~44세,홍제동,"1,952",291,F
45~49세,홍제동,"1,869",248,F
50~54세,홍제동,"2,692",365,F
55~59세,홍제동,"2,417",327,F
60~64세,홍제동,"2,485",469,F
65~69세,홍제동,"2,169",542,F
총합,대현동,"6,855","3,921",M+F
0~69세,대현동,"6,487","3,812",M+F
0~4세,대현동,63,0,M+F
5~9세,대현동,92,0,M+F
10~14세,대현동,147,0,M+F
15~19세,대현동,269,120,M+F
20~24세,대현동,"1,743","1,438",M+F
25~29세,대현동,"1,556","1,230",M+F
30~34세,대현동,710,467,M+F
35~39세,대현동,326,172,M+F
40~44세,대현동,278,92,M+F
45~49세,대현동,277,80,M+F
50~54세,대현동,364,71,M+F
55~59세,대현동,291,67,M+F
60~64세,대현동,204,38,M+F
65~69세,대현동,167,37,M+F
총합,대현동,"2,126",889,M
0~69세,대현동,"1,988",867,M
0~4세,대현동,34,0,M
5~9세,대현동,36,0,M
10~14세,대현동,75,0,M
15~19세,대현동,70,11,M
20~24세,대현동,243,169,M
25~29세,대현동,426,316,M
30~34세,대현동,254,151,M
35~39세,대현동,128,55,M
40~44세,대현동,116,36,M
45~49세,대현동,115,33,M
50~54세,대현동,169,33,M
55~59세,대현동,140,30,M
60~64세,대현동,106,21,M
65~69세,대현동,76,12,M
총합,대현동,"4,729","3,032",F
0~69세,대현동,"4,499","2,945",F
0~4세,대현동,29,0,F
5~9세,대현동,56,0,F
10~14세,대현동,72,0,F
15~19세,대현동,199,109,F
20~24세,대현동,"1,500","1,269",F
25~29세,대현동,"1,130",914,F
30~34세,대현동,456,316,F
35~39세,대현동,198,117,F
40~44세,대현동,162,56,F
45~49세,대현동,162,47,F
50~54세,대현동,195,38,F
55~59세,대현동,151,37,F
60~64세,대현동,98,17,F
65~69세,대현동,91,25,F
총합,대신동,"1,552",898,M+F
0~69세,대신동,"1,418",853,M+F
0~4세,대신동,31,0,M+F
5~9세,대신동,17,0,M+F
10~14세,대신동,49,0,M+F
15~19세,대신동,50,14,M+F
20~24세,대신동,297,253,M+F
25~29세,대신동,338,279,M+F
30~34세,대신동,162,126,M+F
35~39세,대신동,76,44,M+F
40~44세,대신동,78,37,M+F
45~49세,대신동,68,20,M+F
50~54세,대신동,83,29,M+F
55~59세,대신동,64,20,M+F
60~64세,대신동,56,16,M+F
65~69세,대신동,49,15,M+F
총합,대신동,615,325,M
0~69세,대신동,552,310,M
0~4세,대신동,19,0,M
5~9세,대신동,8,0,M
10~14세,대신동,23,0,M
15~19세,대신동,19,3,M
20~24세,대신동,55,42,M
25~29세,대신동,144,124,M
30~34세,대신동,68,56,M
35~39세,대신동,34,19,M
40~44세,대신동,32,16,M
45~49세,대신동,24,5,M
50~54세,대신동,50,19,M
55~59세,대신동,29,10,M
60~64세,대신동,28,10,M
65~69세,대신동,19,6,M
총합,대신동,937,573,F
0~69세,대신동,866,543,F
0~4세,대신동,12,0,F
5~9세,대신동,9,0,F
10~14세,대신동,26,0,F
15~19세,대신동,31,11,F
20~24세,대신동,242,211,F
25~29세,대신동,194,155,F
30~34세,대신동,94,70,F
35~39세,대신동,42,25,F
40~44세,대신동,46,21,F
45~49세,대신동,44,15,F
50~54세,대신동,33,10,F
55~59세,대신동,35,10,F
60~64세,대신동,28,6,F
65~69세,대신동,30,9,F
총합,신촌동,833,380,M+F
0~69세,신촌동,748,365,M+F
0~4세,신촌동,11,0,M+F
5~9세,신촌동,10,0,M+F
10~14세,신촌동,27,0,M+F
15~19세,신촌동,26,4,M+F
20~24세,신촌동,160,118,M+F
25~29세,신촌동,148,113,M+F
30~34세,신촌동,86,58,M+F
35~39세,신촌동,38,21,M+F
40~44세,신촌동,42,18,M+F
45~49세,신촌동,32,8,M+F
50~54세,신촌동,48,4,M+F
55~59세,신촌동,46,6,M+F
60~64세,신촌동,42,7,M+F
65~69세,신촌동,32,8,M+F
총합,신촌동,342,136,M
0~69세,신촌동,305,132,M
0~4세,신촌동,3,0,M
5~9세,신촌동,6,0,M
10~14세,신촌동,15,0,M
15~19세,신촌동,9,1,M
20~24세,신촌동,50,30,M
25~29세,신촌동,54,39,M
30~34세,신촌동,36,26,M
35~39세,신촌동,15,10,M
40~44세,신촌동,16,7,M
45~49세,신촌동,15,3,M
50~54세,신촌동,21,1,M
55~59세,신촌동,22,4,M
60~64세,신촌동,26,5,M
65~69세,신촌동,17,6,M
총합,신촌동,491,244,F
0~69세,신촌동,443,233,F
0~4세,신촌동,8,0,F
5~9세,신촌동,4,0,F
10~14세,신촌동,12,0,F
15~19세,신촌동,17,3,F
20~24세,신촌동,110,88,F
25~29세,신촌동,94,74,F
30~34세,신촌동,50,32,F
35~39세,신촌동,23,11,F
40~44세,신촌동,26,11,F
45~49세,신촌동,17,5,F
50~54세,신촌동,27,3,F
55~59세,신촌동,24,2,F
60~64세,신촌동,16,2,F
65~69세,신촌동,15,2,F
총합,봉원동,372,100,M+F
0~69세,봉원동,301,78,M+F
0~4세,봉원동,6,0,M+F
5~9세,봉원동,10,0,M+F
10~14세,봉원동,17,0,M+F
15~19세,봉원동,10,0,M+F
20~24세,봉원동,21,6,M+F
25~29세,봉원동,23,9,M+F
30~34세,봉원동,26,16,M+F
35~39세,봉원동,18,3,M+F
40~44세,봉원동,20,3,M+F
45~49세,봉원동,27,4,M+F
50~54세,봉원동,29,5,M+F
55~59세,봉원동,36,12,M+F
60~64세,봉원동,39,12,M+F
65~69세,봉원동,19,8,M+F
총합,봉원동,175,50,M
0~69세,봉원동,144,41,M
0~4세,봉원동,1,0,M
5~9세,봉원동,5,0,M
10~14세,봉원동,8,0,M
15~19세,봉원동,5,0,M
20~24세,봉원동,5,1,M
25~29세,봉원동,10,3,M
30~34세,봉원동,13,9,M
35~39세,봉원동,9,2,M
40~44세,봉원동,11,3,M
45~49세,봉원동,9,2,M
50~54세,봉원동,17,3,M
55~59세,봉원동,18,7,M
60~64세,봉원동,24,8,M
65~69세,봉원동,9,3,M
총합,봉원동,197,50,F
0~69세,봉원동,157,37,F
0~4세,봉원동,5,0,F
5~9세,봉원동,5,0,F
10~14세,봉원동,9,0,F
15~19세,봉원동,5,0,F
20~24세,봉원동,16,5,F
25~29세,봉원동,13,6,F
30~34세,봉원동,13,7,F
35~39세,봉원동,9,1,F
40~44세,봉원동,9,0,F
45~49세,봉원동,18,2,F
50~54세,봉원동,12,2,F
55~59세,봉원동,18,5,F
60~64세,봉원동,15,4,F
65~69세,봉원동,10,5,F
총합,창천동,"10,813","6,801",M+F
0~69세,창천동,"9,925","6,511",M+F
0~4세,창천동,131,0,M+F
5~9세,창천동,78,2,M+F
10~14세,창천동,151,1,M+F
15~19세,창천동,255,110,M+F
20~24세,창천동,"1,736","1,453",M+F
25~29세,창천동,"2,576","2,121",M+F
30~34세,창천동,"1,445","1,122",M+F
35~39세,창천동,736,505,M+F
40~44세,창천동,566,328,M+F
45~49세,창천동,469,221,M+F
50~54세,창천동,527,207,M+F
55~59세,창천동,439,167,M+F
60~64세,창천동,450,158,M+F
65~69세,창천동,366,116,M+F
총합,창천동,"5,471","3,573",M
0~69세,창천동,"5,105","3,484",M
0~4세,창천동,79,0,M
5~9세,창천동,39,1,M
10~14세,창천동,88,1,M
15~19세,창천동,106,34,M
20~24세,창천동,729,606,M
25~29세,창천동,"1,397","1,181",M
30~34세,창천동,842,687,M
35~39세,창천동,413,307,M
40~44세,창천동,302,186,M
45~49세,창천동,254,129,M
50~54세,창천동,253,116,M
55~59세,창천동,226,99,M
60~64세,창천동,207,86,M
65~69세,창천동,170,51,M
총합,창천동,"5,342","3,228",F
0~69세,창천동,"4,820","3,027",F
0~4세,창천동,52,0,F
5~9세,창천동,39,1,F
10~14세,창천동,63,0,F
15~19세,창천동,149,76,F
20~24세,창천동,"1,007",847,F
25~29세,창천동,"1,179",940,F
30~34세,창천동,603,435,F
35~39세,창천동,323,198,F
40~44세,창천동,264,142,F
45~49세,창천동,215,92,F
50~54세,창천동,274,91,F
55~59세,창천동,213,68,F
60~64세,창천동,243,72,F
65~69세,창천동,196,65,F
총합,연희동,"33,910","10,675",M+F
0~69세,연희동,"29,642","9,563",M+F
0~4세,연희동,492,0,M+F
5~9세,연희동,775,1,M+F
10~14세,연희동,867,6,M+F
